tw_id,createdTime,label,error
1.6638684554166518e+18,2023-05-31T11:23:26.000Z,1,False
1.6638681751113892e+18,2023-05-31T11:23:26.000Z,0,False
1.6638680243261686e+18,2023-05-31T11:23:25.000Z,0,False
1.663868016730202e+18,2023-05-31T11:23:25.000Z,1,False
1.6638679023558203e+18,2023-05-31T11:23:24.000Z,1,False
1.6638677496412037e+18,2023-05-31T11:23:24.000Z,1,False
1.6638671030808617e+18,2023-05-31T11:18:18.000Z,0,False
1.663866816601391e+18,2023-05-31T11:18:18.000Z,1,False
1.6638667683586048e+18,2023-05-31T11:18:17.000Z,0,False
1.6638665874749809e+18,2023-05-31T11:18:17.000Z,0,False
1.663866506151641e+18,2023-05-31T11:18:16.000Z,1,False
1.6638664718128333e+18,2023-05-31T11:18:16.000Z,1,False
1.663865955057795e+18,2023-05-31T11:13:10.000Z,1,False
1.6638658954022093e+18,2023-05-31T11:13:10.000Z,0,False
1.6638658366232412e+18,2023-05-31T11:13:09.000Z,1,False
1.6638655168159416e+18,2023-05-31T11:13:09.000Z,0,False
1.6638654930342625e+18,2023-05-31T11:13:08.000Z,1,False
1.6638652585140224e+18,2023-05-31T11:13:07.000Z,1,False
1.6638650727146455e+18,2023-05-31T11:13:07.000Z,1,False
1.6638650219845468e+18,2023-05-31T11:13:06.000Z,1,False
1.663864986660139e+18,2023-05-31T11:13:06.000Z,1,False
1.663864811996758e+18,2023-05-31T11:08:00.000Z,1,False
1.6638646833028874e+18,2023-05-31T11:07:59.000Z,1,False
1.6638646210762916e+18,2023-05-31T11:07:59.000Z,1,False
1.6638645993119416e+18,2023-05-31T11:07:59.000Z,1,False
1.663864419799974e+18,2023-05-31T11:07:58.000Z,1,False
1.6638639340283249e+18,2023-05-31T11:07:57.000Z,0,False
1.6638639055322317e+18,2023-05-31T11:07:57.000Z,1,False
1.6638637831968768e+18,2023-05-31T11:07:57.000Z,1,False
1.6638636994911764e+18,2023-05-31T11:07:56.000Z,1,False
1.6638636819674317e+18,2023-05-31T11:07:55.000Z,1,False
1.663863646538068e+18,2023-05-31T11:07:55.000Z,1,False
1.6638635934340751e+18,2023-05-31T11:07:55.000Z,1,False
1.6638635665694474e+18,2023-05-31T11:07:54.000Z,1,False
1.6638635555594895e+18,2023-05-31T11:07:53.000Z,1,False
1.6638635535210578e+18,2023-05-31T11:07:53.000Z,1,False
1.6638635191026117e+18,2023-05-31T11:02:47.000Z,1,False
1.663863486038913e+18,2023-05-31T11:02:47.000Z,1,False
1.6638634701341e+18,2023-05-31T11:02:46.000Z,1,False
1.6638634549506212e+18,2023-05-31T11:02:46.000Z,1,False
1.6638634428753306e+18,2023-05-31T11:02:45.000Z,1,False
1.6638634431772344e+18,2023-05-31T11:02:46.000Z,1,False
1.663863265506599e+18,2023-05-31T11:02:45.000Z,1,False
1.6638632462672282e+18,2023-05-31T11:02:44.000Z,0,False
1.6638631830255045e+18,2023-05-31T11:02:44.000Z,1,False
1.6638631800728123e+18,2023-05-31T11:02:43.000Z,0,False
1.663863019074384e+18,2023-05-31T11:02:43.000Z,0,False
1.6638630169185935e+18,2023-05-31T11:02:42.000Z,1,False
1.663862863914582e+18,2023-05-31T11:02:42.000Z,1,False
1.6638628131467305e+18,2023-05-31T11:02:41.000Z,1,False
1.6638627186280817e+18,2023-05-31T11:02:41.000Z,1,False
1.6638624962879406e+18,2023-05-31T11:02:40.000Z,1,False
1.6638624551964385e+18,2023-05-31T11:02:40.000Z,1,False
1.6638622015668552e+18,2023-05-31T10:57:34.000Z,0,False
1.6638621409297326e+18,2023-05-31T10:57:34.000Z,1,False
1.6638621373100485e+18,2023-05-31T10:57:33.000Z,0,False
1.663862058167804e+18,2023-05-31T10:57:33.000Z,1,False
1.663862046608294e+18,2023-05-31T10:57:33.000Z,0,False
1.6638620018005606e+18,2023-05-31T10:57:32.000Z,1,False
1.6638619498288538e+18,2023-05-31T10:57:32.000Z,1,False
1.6638618959656714e+18,2023-05-31T10:57:31.000Z,0,False
1.6638616984474378e+18,2023-05-31T10:57:31.000Z,1,False
1.6638615409680794e+18,2023-05-31T10:57:31.000Z,1,False
1.6638615340769485e+18,2023-05-31T10:57:30.000Z,1,False
1.6638615267914424e+18,2023-05-31T10:57:30.000Z,1,False
1.6638615090368594e+18,2023-05-31T10:57:30.000Z,1,False
1.663861477013332e+18,2023-05-31T10:57:29.000Z,1,False
1.6638614001485087e+18,2023-05-31T10:57:29.000Z,1,False
1.6638612523539333e+18,2023-05-31T10:57:28.000Z,1,False
1.6638611830429737e+18,2023-05-31T10:57:28.000Z,1,False
1.6638611068240814e+18,2023-05-31T10:57:28.000Z,1,False
1.6638610282899292e+18,2023-05-31T10:57:27.000Z,1,False
