day,id,user
2016-07-10,751951807543382016,FogoCruzadoRJ
2016-07-21,756127449390407681,FogoCruzadoRJ
2016-07-21,756128901567385604,FogoCruzadoRJ
2016-08-05,761569249601196032,FogoCruzadoRJ
2016-08-24,768435461719293952,FogoCruzadoRJ
2016-11-23,801566710641938432,FogoCruzadoRJ
2016-11-23,801373836000235520,FogoCruzadoRJ
2016-11-30,804112423523381248,FogoCruzadoRJ
2017-01-01,815529664542363648,FogoCruzadoRJ
2017-01-01,815532734273777664,FogoCruzadoRJ
2017-01-04,816795457263378432,FogoCruzadoRJ
2017-01-12,819630524373364739,FogoCruzadoRJ
2017-01-14,820269255035940868,FogoCruzadoRJ
2017-01-15,820642244734681090,FogoCruzadoRJ
2017-01-16,820994937357475840,FogoCruzadoRJ
2017-01-17,821169484941717504,FogoCruzadoRJ
2017-01-23,823635042614317056,FogoCruzadoRJ
2017-01-23,823659051083071488,FogoCruzadoRJ
2017-01-27,824943471874207744,FogoCruzadoRJ
2017-02-07,828998803030163461,FogoCruzadoRJ
2017-03-10,840257406240198657,FogoCruzadoRJ
2017-03-18,843210668849446914,FogoCruzadoRJ
2017-03-19,843345563009650688,FogoCruzadoRJ
2017-03-24,845098451868233728,FogoCruzadoRJ
2017-03-25,845637003991531526,FogoCruzadoRJ
2017-03-27,846451123942834177,FogoCruzadoRJ
2017-03-27,846473523359035394,FogoCruzadoRJ
2017-03-27,846472806393167872,FogoCruzadoRJ
2017-03-27,846472453513789440,FogoCruzadoRJ
2017-03-27,846472124508372992,FogoCruzadoRJ
2017-03-27,846475681643085825,FogoCruzadoRJ
2017-03-27,846420455300976640,FogoCruzadoRJ
2017-03-27,846477677561368576,FogoCruzadoRJ
2017-03-27,846425084235526147,FogoCruzadoRJ
2017-03-27,846416444795576321,FogoCruzadoRJ
2017-03-27,846415425990791168,FogoCruzadoRJ
2017-03-27,846407400764649472,FogoCruzadoRJ
2017-03-27,846401475676909568,FogoCruzadoRJ
2017-03-27,846450564695277568,FogoCruzadoRJ
2017-03-28,846843649434488832,FogoCruzadoRJ
2017-03-28,846735136297246720,FogoCruzadoRJ
2017-03-28,846797264689528834,FogoCruzadoRJ
2017-03-28,846737871453257728,FogoCruzadoRJ
2017-03-28,846732933482364928,FogoCruzadoRJ
2017-03-28,846724475169128448,FogoCruzadoRJ
2017-03-28,846746549799522305,FogoCruzadoRJ
